Record No,Programme code,Study Year,Academic Year,Course,Course Type
R1179,10013,3,2013-2014,1184,elective
R1180,10013,3,2013-2014,1169,elective
R1181,10013,3,2014-2015,1230,compulsory
R1182,10013,3,2014-2015,1030,compulsory
R1183,10013,3,2014-2015,1291,compulsory-elective
R1184,10013,3,2014-2015,1220,compulsory-elective
R1185,10013,3,2014-2015,1034,compulsory-elective
R1186,10013,3,2014-2015,1238,elective
R1187,10013,3,2014-2015,1152,elective
R1188,10013,3,2014-2015,1149,elective
R1189,10013,3,2014-2015,1105,elective
R1190,10013,3,2015-2016,1126,compulsory
R1191,10013,3,2015-2016,1224,compulsory-elective
R1192,10013,3,2015-2016,1196,compulsory-elective
R1193,10013,3,2015-2016,1138,compulsory-elective
R1194,10013,3,2015-2016,1131,compulsory-elective
R1195,10013,3,2015-2016,1294,elective
R1196,10013,3,2015-2016,1254,elective
R1197,10013,3,2015-2016,1148,elective
R1198,10013,3,2015-2016,1019,elective
R1199,10013,3,2015-2016,1010,elective
R1200,10013,3,2016-2017,1160,compulsory
R1201,10013,3,2016-2017,1187,compulsory-elective
R1202,10013,3,2016-2017,1154,compulsory-elective
R1203,10013,3,2016-2017,1047,compulsory-elective
R1204,10013,3,2016-2017,1285,elective
R1205,10013,3,2016-2017,1246,elective
R1206,10013,3,2016-2017,1134,elective
R1207,10013,3,2016-2017,1121,elective
R1208,10013,3,2017-2018,1210,compulsory
R1209,10013,3,2017-2018,1151,compulsory
R1210,10013,3,2017-2018,1238,compulsory-elective
R1211,10013,3,2017-2018,1223,compulsory-elective
R1212,10013,3,2017-2018,1028,compulsory-elective
R1213,10013,3,2017-2018,1297,elective
R1214,10013,3,2017-2018,1257,elective
R1215,10013,3,2017-2018,1236,elective
R1216,10013,3,2017-2018,1157,elective
R1217,10013,3,2018-2019,1244,compulsory
R1218,10013,3,2018-2019,1262,compulsory-elective
R1219,10013,3,2018-2019,1192,compulsory-elective
R1220,10013,3,2018-2019,1170,compulsory-elective
R1221,10013,3,2018-2019,1161,compulsory-elective
R1222,10013,3,2018-2019,1277,elective
R1223,10013,3,2018-2019,1250,elective
R1224,10013,3,2018-2019,1202,elective
R1225,10013,3,2018-2019,1195,elective
R1226,10013,3,2018-2019,1172,elective
R1227,10013,3,2018-2019,1071,elective
R1228,10013,3,2019-2020,1139,compulsory
R1229,10013,3,2019-2020,1089,compulsory-elective
R1230,10013,3,2019-2020,1075,compulsory-elective
R1231,10013,3,2019-2020,1286,elective
R1232,10013,3,2019-2020,1258,elective
R1233,10013,3,2019-2020,1223,elective
R1234,10013,3,2019-2020,1196,elective
R1235,10013,3,2020-2021,1267,compulsory
R1236,10013,3,2020-2021,1157,compulsory-elective
R1237,10013,3,2020-2021,1050,compulsory-elective
R1238,10013,3,2020-2021,1012,compulsory-elective
R1239,10013,3,2020-2021,1115,elective
R1240,10013,3,2020-2021,1087,elective
R1241,10013,3,2020-2021,1066,elective
R1242,10013,3,2020-2021,1044,elective
R1243,10013,3,2020-2021,1026,elective
R1244,10013,3,2021-2022,1254,compulsory
R1245,10013,3,2021-2022,1279,compulsory-elective
R1246,10013,3,2021-2022,1262,compulsory-elective
R1247,10013,3,2021-2022,1042,compulsory-elective
R1248,10013,3,2021-2022,1040,compulsory-elective
R1249,10013,3,2021-2022,1256,elective
R1250,10013,3,2021-2022,1245,elective
R1251,10013,3,2021-2022,1177,elective
R1252,10013,3,2021-2022,1145,elective
R1253,10013,3,2021-2022,1134,elective
R1254,10013,3,2022-2023,1104,compulsory
R1255,10013,3,2022-2023,1233,compulsory-elective
R1256,10013,3,2022-2023,1151,compulsory-elective
R1257,10013,3,2022-2023,1114,compulsory-elective
R1258,10013,3,2022-2023,1019,compulsory-elective
R1259,10013,3,2022-2023,1188,compulsory-elective
R1260,10013,3,2022-2023,1154,compulsory-elective
R1261,10013,3,2022-2023,1079,compulsory-elective
R1262,10013,3,2022-2023,1005,compulsory-elective
R1263,10013,3,2023-2024,1116,compulsory
R1264,10013,3,2023-2024,1102,compulsory
R1265,10013,3,2023-2024,1255,compulsory
R1266,10013,3,2023-2024,1245,compulsory
R1267,10013,3,2023-2024,1253,elective
R1268,10013,3,2023-2024,1222,elective
R1269,10013,3,2023-2024,1126,elective
R1270,10013,3,2023-2024,1125,elective
R1271,10013,3,2023-2024,1111,elective
R1272,10013,3,2023-2024,1036,elective
R1273,10014,1,2013-2014,1200,compulsory
R1274,10014,1,2013-2014,1282,compulsory-elective
R1275,10014,1,2013-2014,1050,compulsory-elective
R1276,10014,1,2013-2014,1297,elective
R1277,10014,1,2013-2014,1219,elective
R1278,10014,1,2013-2014,1076,elective
R1279,10014,1,2013-2014,1077,elective
R1280,10014,1,2014-2015,1253,compulsory
R1281,10014,1,2014-2015,1073,compulsory
R1282,10014,1,2014-2015,1067,compulsory-elective
R1283,10014,1,2014-2015,1050,compulsory-elective
R1284,10014,1,2014-2015,1030,compulsory-elective
R1285,10014,1,2014-2015,1297,elective
R1286,10014,1,2014-2015,1200,elective
R1287,10014,1,2014-2015,1181,elective
R1288,10014,1,2014-2015,1115,elective
R1289,10014,1,2014-2015,1104,elective
R1290,10014,1,2014-2015,1015,elective
R1291,10014,1,2015-2016,1110,compulsory
R1292,10014,1,2015-2016,1024,compulsory
R1293,10014,1,2015-2016,1164,compulsory
R1294,10014,1,2015-2016,1095,compulsory
R1295,10014,1,2015-2016,1274,elective
R1296,10014,1,2015-2016,1214,elective
R1297,10014,1,2015-2016,1213,elective
R1298,10014,1,2015-2016,1081,elective
R1299,10014,1,2015-2016,1003,elective
R1300,10014,1,2016-2017,1075,compulsory
R1301,10014,1,2016-2017,1179,compulsory-elective
R1302,10014,1,2016-2017,1134,compulsory-elective
R1303,10014,1,2016-2017,1287,elective
R1304,10014,1,2016-2017,1282,elective
R1305,10014,1,2016-2017,1254,elective
R1306,10014,1,2016-2017,1255,elective
R1307,10014,1,2016-2017,1251,elective
R1308,10014,1,2016-2017,1200,elective
R1309,10014,1,2017-2018,1260,compulsory
R1310,10014,1,2017-2018,1203,compulsory-elective
R1311,10014,1,2017-2018,1112,compulsory-elective
R1312,10014,1,2017-2018,1104,compulsory-elective
R1313,10014,1,2017-2018,1182,elective
R1314,10014,1,2017-2018,1154,elective
R1315,10014,1,2017-2018,1140,elective
R1316,10014,1,2017-2018,1105,elective
R1317,10014,1,2017-2018,1060,elective
R1318,10014,1,2017-2018,1003,elective
R1319,10014,1,2018-2019,1139,compulsory
R1320,10014,1,2018-2019,1277,compulsory-elective
R1321,10014,1,2018-2019,1268,compulsory-elective
R1322,10014,1,2018-2019,1101,compulsory-elective
R1323,10014,1,2018-2019,1045,compulsory-elective
R1324,10014,1,2018-2019,1252,elective
R1325,10014,1,2018-2019,1245,elective
R1326,10014,1,2018-2019,1102,elective
R1327,10014,1,2018-2019,1018,elective
R1328,10014,1,2018-2019,1016,elective
R1329,10014,1,2019-2020,1167,compulsory
R1330,10014,1,2019-2020,1132,compulsory
R1331,10014,1,2019-2020,1285,compulsory-elective
R1332,10014,1,2019-2020,1241,compulsory-elective
R1333,10014,1,2019-2020,1237,compulsory-elective
R1334,10014,1,2019-2020,1283,elective
R1335,10014,1,2019-2020,1201,elective
R1336,10014,1,2019-2020,1084,elective
R1337,10014,1,2019-2020,1067,elective
R1338,10014,1,2019-2020,1012,elective
R1339,10014,1,2020-2021,1250,compulsory
R1340,10014,1,2020-2021,1013,compulsory
R1341,10014,1,2020-2021,1178,compulsory-elective
R1342,10014,1,2020-2021,1167,compulsory-elective
R1343,10014,1,2020-2021,1125,compulsory-elective
R1344,10014,1,2020-2021,1016,compulsory-elective
R1345,10014,1,2020-2021,1287,elective
R1346,10014,1,2020-2021,1270,elective
R1347,10014,1,2020-2021,1202,elective
R1348,10014,1,2020-2021,1156,elective
R1349,10014,1,2020-2021,1103,elective
R1350,10014,1,2020-2021,1008,elective
R1351,10014,1,2021-2022,1274,compulsory
R1352,10014,1,2021-2022,1014,compulsory
R1353,10014,1,2021-2022,1267,compulsory-elective
R1354,10014,1,2021-2022,1255,compulsory-elective
R1355,10014,1,2021-2022,1159,compulsory-elective
R1356,10014,1,2021-2022,1164,elective
R1357,10014,1,2021-2022,1140,elective
R1358,10014,1,2021-2022,1116,elective
R1359,10014,1,2021-2022,1037,elective
R1360,10014,1,2022-2023,1262,compulsory
R1361,10014,1,2022-2023,1201,compulsory
R1362,10014,1,2022-2023,1233,compulsory-elective
R1363,10014,1,2022-2023,1190,compulsory-elective
R1364,10014,1,2022-2023,1160,compulsory-elective
R1365,10014,1,2022-2023,1078,compulsory-elective
R1366,10014,1,2022-2023,1238,elective
R1367,10014,1,2022-2023,1203,elective
R1368,10014,1,2022-2023,1073,elective
R1369,10014,1,2022-2023,1059,elective
R1370,10014,1,2022-2023,1054,elective
R1371,10014,1,2022-2023,1012,elective
R1372,10014,1,2023-2024,1041,compulsory
R1373,10014,1,2023-2024,1022,compulsory
R1374,10014,1,2023-2024,1247,compulsory
R1375,10014,1,2023-2024,1202,compulsory
R1376,10014,1,2023-2024,1299,elective
R1377,10014,1,2023-2024,1277,elective
R1378,10014,1,2023-2024,1236,elective
R1379,10014,1,2023-2024,1209,elective
R1380,10014,1,2023-2024,1138,elective
R1381,10014,1,2023-2024,1025,elective
R1382,10014,2,2013-2014,1236,compulsory
R1383,10014,2,2013-2014,1288,compulsory-elective
R1384,10014,2,2013-2014,1280,compulsory-elective
R1385,10014,2,2013-2014,1087,compulsory-elective
R1386,10014,2,2013-2014,1249,elective
R1387,10014,2,2013-2014,1238,elective
R1388,10014,2,2013-2014,1081,elective
R1389,10014,2,2013-2014,1057,elective
R1390,10014,2,2013-2014,1006,elective
R1391,10014,2,2014-2015,1287,compulsory
R1392,10014,2,2014-2015,1125,compulsory
R1393,10014,2,2014-2015,1257,compulsory-elective
R1394,10014,2,2014-2015,1230,compulsory-elective
R1395,10014,2,2014-2015,1086,compulsory-elective
R1396,10014,2,2014-2015,1049,compulsory-elective
R1397,10014,2,2014-2015,1196,compulsory-elective
R1398,10014,2,2014-2015,1136,compulsory-elective
R1399,10014,2,2014-2015,1092,compulsory-elective
R1400,10014,2,2014-2015,1027,compulsory-elective
R1401,10014,2,2015-2016,1187,compulsory
R1402,10014,2,2015-2016,1061,compulsory
R1403,10014,2,2015-2016,1283,compulsory-elective
R1404,10014,2,2015-2016,1158,compulsory-elective
R1405,10014,2,2015-2016,1118,compulsory-elective
R1406,10014,2,2015-2016,1021,compulsory-elective
R1407,10014,2,2015-2016,1285,elective
R1408,10014,2,2015-2016,1145,elective
R1409,10014,2,2015-2016,1091,elective
R1410,10014,2,2015-2016,1060,elective
R1411,10014,2,2015-2016,1049,elective
R1412,10014,2,2016-2017,1143,compulsory
R1413,10014,2,2016-2017,1050,compulsory
R1414,10014,2,2016-2017,1290,compulsory-elective
R1415,10014,2,2016-2017,1055,compulsory-elective
R1416,10014,2,2016-2017,1036,compulsory-elective
R1417,10014,2,2016-2017,1237,elective
R1418,10014,2,2016-2017,1160,elective
R1419,10014,2,2016-2017,1150,elective
R1420,10014,2,2016-2017,1147,elective
R1421,10014,2,2016-2017,1112,elective
R1422,10014,2,2016-2017,1006,elective
R1423,10014,2,2017-2018,1227,compulsory
R1424,10014,2,2017-2018,1224,compulsory
R1425,10014,2,2017-2018,1136,compulsory
R1426,10014,2,2017-2018,1131,compulsory
R1427,10014,2,2017-2018,1297,elective
R1428,10014,2,2017-2018,1282,elective
R1429,10014,2,2017-2018,1090,elective
R1430,10014,2,2017-2018,1035,elective
R1431,10014,2,2017-2018,1016,elective
R1432,10014,2,2018-2019,1226,compulsory
R1433,10014,2,2018-2019,1024,compulsory
R1434,10014,2,2018-2019,1225,compulsory
R1435,10014,2,2018-2019,1145,compulsory
R1436,10014,2,2018-2019,1268,elective
R1437,10014,2,2018-2019,1098,elective
R1438,10014,2,2018-2019,1034,elective
R1439,10014,2,2018-2019,1005,elective
R1440,10014,2,2019-2020,1069,compulsory
R1441,10014,2,2019-2020,1038,compulsory
R1442,10014,2,2019-2020,1264,compulsory-elective
R1443,10014,2,2019-2020,1048,compulsory-elective
R1444,10014,2,2019-2020,1044,compulsory-elective
R1445,10014,2,2019-2020,1009,compulsory-elective
R1446,10014,2,2019-2020,1274,elective
R1447,10014,2,2019-2020,1250,elective
R1448,10014,2,2019-2020,1101,elective
R1449,10014,2,2019-2020,1094,elective
R1450,10014,2,2019-2020,1064,elective
R1451,10014,2,2019-2020,1033,elective
R1452,10014,2,2020-2021,1261,compulsory
R1453,10014,2,2020-2021,1236,compulsory
R1454,10014,2,2020-2021,1295,compulsory-elective
R1455,10014,2,2020-2021,1269,compulsory-elective
R1456,10014,2,2020-2021,1015,compulsory-elective
R1457,10014,2,2020-2021,1226,elective
R1458,10014,2,2020-2021,1124,elective
R1459,10014,2,2020-2021,1116,elective
R1460,10014,2,2020-2021,1099,elective
R1461,10014,2,2020-2021,1043,elective
R1462,10014,2,2020-2021,1035,elective
R1463,10014,2,2021-2022,1069,compulsory
R1464,10014,2,2021-2022,1269,compulsory-elective
R1465,10014,2,2021-2022,1222,compulsory-elective
R1466,10014,2,2021-2022,1274,elective
R1467,10014,2,2021-2022,1235,elective
R1468,10014,2,2021-2022,1203,elective
R1469,10014,2,2021-2022,1078,elective
R1470,10014,2,2021-2022,1032,elective
R1471,10014,2,2022-2023,1258,compulsory
R1472,10014,2,2022-2023,1154,compulsory
R1473,10014,2,2022-2023,1297,compulsory
R1474,10014,2,2022-2023,1275,compulsory
R1475,10014,2,2022-2023,1241,elective
R1476,10014,2,2022-2023,1175,elective
R1477,10014,2,2022-2023,1151,elective
R1478,10014,2,2022-2023,1113,elective
R1479,10014,2,2023-2024,1223,compulsory
R1480,10014,2,2023-2024,1139,compulsory
R1481,10014,2,2023-2024,1192,compulsory
R1482,10014,2,2023-2024,1093,compulsory
R1483,10014,2,2023-2024,1269,elective
R1484,10014,2,2023-2024,1262,elective
R1485,10014,2,2023-2024,1226,elective
R1486,10014,2,2023-2024,1020,elective
R1487,10021,1,2013-2014,1177,compulsory
R1488,10021,1,2013-2014,1171,compulsory-elective
R1489,10021,1,2013-2014,1100,compulsory-elective
R1490,10021,1,2013-2014,1270,elective
R1491,10021,1,2013-2014,1158,elective
R1492,10021,1,2013-2014,1133,elective
R1493,10021,1,2013-2014,1070,elective
R1494,10021,1,2014-2015,1127,compulsory
R1495,10021,1,2014-2015,1122,compulsory
R1496,10021,1,2014-2015,1271,compulsory-elective
R1497,10021,1,2014-2015,1263,compulsory-elective
R1498,10021,1,2014-2015,1155,compulsory-elective
R1499,10021,1,2014-2015,1040,compulsory-elective
R1500,10021,1,2014-2015,1282,elective
R1501,10021,1,2014-2015,1199,elective
R1502,10021,1,2014-2015,1139,elective
R1503,10021,1,2014-2015,1104,elective
R1504,10021,1,2014-2015,1056,elective
R1505,10021,1,2015-2016,1278,compulsory
R1506,10021,1,2015-2016,1047,compulsory
R1507,10021,1,2015-2016,1292,compulsory-elective
R1508,10021,1,2015-2016,1229,compulsory-elective
R1509,10021,1,2015-2016,1165,compulsory-elective
R1510,10021,1,2015-2016,1261,elective
R1511,10021,1,2015-2016,1230,elective
R1512,10021,1,2015-2016,1174,elective
R1513,10021,1,2015-2016,1146,elective
R1514,10021,1,2016-2017,1275,compulsory
R1515,10021,1,2016-2017,1065,compulsory
R1516,10021,1,2016-2017,1234,compulsory
R1517,10021,1,2016-2017,1079,compulsory
R1518,10021,1,2016-2017,1250,elective
R1519,10021,1,2016-2017,1105,elective
R1520,10021,1,2016-2017,1076,elective
R1521,10021,1,2016-2017,1036,elective
R1522,10021,1,2017-2018,1043,compulsory
R1523,10021,1,2017-2018,1006,compulsory
R1524,10021,1,2017-2018,1231,compulsory-elective
R1525,10021,1,2017-2018,1106,compulsory-elective
R1526,10021,1,2017-2018,1098,compulsory-elective
R1527,10021,1,2017-2018,1090,compulsory-elective
R1528,10021,1,2017-2018,1280,compulsory-elective
R1529,10021,1,2017-2018,1178,compulsory-elective
R1530,10021,1,2017-2018,1147,compulsory-elective
R1531,10021,1,2017-2018,1116,compulsory-elective
R1532,10021,1,2018-2019,1181,compulsory
R1533,10021,1,2018-2019,1213,compulsory-elective
R1534,10021,1,2018-2019,1187,compulsory-elective
R1535,10021,1,2018-2019,1078,compulsory-elective
R1536,10021,1,2018-2019,1016,compulsory-elective
R1537,10021,1,2018-2019,1279,elective
R1538,10021,1,2018-2019,1188,elective
R1539,10021,1,2018-2019,1165,elective
R1540,10021,1,2018-2019,1136,elective
R1541,10021,1,2018-2019,1133,elective
R1542,10021,1,2019-2020,1159,compulsory
R1543,10021,1,2019-2020,1298,compulsory-elective
R1544,10021,1,2019-2020,1204,compulsory-elective
R1545,10021,1,2019-2020,1020,compulsory-elective
R1546,10021,1,2019-2020,1297,elective
R1547,10021,1,2019-2020,1255,elective
R1548,10021,1,2019-2020,1246,elective
R1549,10021,1,2019-2020,1236,elective
R1550,10021,1,2019-2020,1094,elective
R1551,10021,1,2020-2021,1264,compulsory
R1552,10021,1,2020-2021,1061,compulsory
R1553,10021,1,2020-2021,1173,compulsory
R1554,10021,1,2020-2021,1163,compulsory
R1555,10021,1,2020-2021,1258,elective
R1556,10021,1,2020-2021,1181,elective
R1557,10021,1,2020-2021,1081,elective
R1558,10021,1,2020-2021,1070,elective
R1559,10021,1,2020-2021,1050,elective
R1560,10021,1,2020-2021,1006,elective
R1561,10021,1,2021-2022,1277,compulsory
R1562,10021,1,2021-2022,1265,compulsory-elective
R1563,10021,1,2021-2022,1189,compulsory-elective
R1564,10021,1,2021-2022,1141,compulsory-elective
R1565,10021,1,2021-2022,1299,elective
R1566,10021,1,2021-2022,1248,elective
R1567,10021,1,2021-2022,1185,elective
R1568,10021,1,2021-2022,1114,elective
R1569,10021,1,2021-2022,1106,elective
R1570,10021,1,2021-2022,1032,elective
R1571,10021,1,2022-2023,1199,compulsory
R1572,10021,1,2022-2023,1140,compulsory
R1573,10021,1,2022-2023,1223,compulsory-elective
R1574,10021,1,2022-2023,1206,compulsory-elective
R1575,10021,1,2022-2023,1191,compulsory-elective
R1576,10021,1,2022-2023,1283,elective
R1577,10021,1,2022-2023,1145,elective
R1578,10021,1,2022-2023,1040,elective
R1579,10021,1,2022-2023,1041,elective
R1580,10021,1,2023-2024,1259,compulsory
R1581,10021,1,2023-2024,1216,compulsory-elective
R1582,10021,1,2023-2024,1167,compulsory-elective
R1583,10021,1,2023-2024,1203,elective
R1584,10021,1,2023-2024,1175,elective
R1585,10021,1,2023-2024,1121,elective
R1586,10021,1,2023-2024,1077,elective
R1587,10021,2,2013-2014,1054,compulsory
R1588,10021,2,2013-2014,1032,compulsory
R1589,10021,2,2013-2014,1299,compulsory-elective
R1590,10021,2,2013-2014,1294,compulsory-elective
R1591,10021,2,2013-2014,1157,compulsory-elective
R1592,10021,2,2013-2014,1285,elective
R1593,10021,2,2013-2014,1229,elective
R1594,10021,2,2013-2014,1205,elective
R1595,10021,2,2013-2014,1175,elective
R1596,10021,2,2013-2014,1145,elective
R1597,10021,2,2014-2015,1095,compulsory
R1598,10021,2,2014-2015,1254,compulsory-elective
R1599,10021,2,2014-2015,1242,compulsory-elective
R1600,10021,2,2014-2015,1205,compulsory-elective
R1601,10021,2,2014-2015,1074,compulsory-elective
R1602,10021,2,2014-2015,1247,elective
R1603,10021,2,2014-2015,1173,elective
R1604,10021,2,2014-2015,1164,elective
R1605,10021,2,2014-2015,1142,elective
R1606,10021,2,2014-2015,1015,elective
R1607,10021,2,2015-2016,1295,compulsory
R1608,10021,2,2015-2016,1243,compulsory-elective
R1609,10021,2,2015-2016,1061,compulsory-elective
R1610,10021,2,2015-2016,1015,compulsory-elective
R1611,10021,2,2015-2016,1296,elective
R1612,10021,2,2015-2016,1284,elective
R1613,10021,2,2015-2016,1113,elective
R1614,10021,2,2015-2016,1084,elective
R1615,10021,2,2016-2017,1292,compulsory
R1616,10021,2,2016-2017,1108,compulsory
R1617,10021,2,2016-2017,1280,compulsory-elective
R1618,10021,2,2016-2017,1146,compulsory-elective
R1619,10021,2,2016-2017,1104,compulsory-elective
R1620,10021,2,2016-2017,1191,elective
R1621,10021,2,2016-2017,1190,elective
R1622,10021,2,2016-2017,1153,elective
R1623,10021,2,2016-2017,1144,elective
R1624,10021,2,2016-2017,1064,elective
R1625,10021,2,2017-2018,1199,compulsory
R1626,10021,2,2017-2018,1277,compulsory-elective
R1627,10021,2,2017-2018,1152,compulsory-elective
R1628,10021,2,2017-2018,1290,elective
R1629,10021,2,2017-2018,1209,elective
R1630,10021,2,2017-2018,1108,elective
R1631,10021,2,2017-2018,1059,elective
R1632,10021,2,2018-2019,1276,compulsory
R1633,10021,2,2018-2019,1205,compulsory
R1634,10021,2,2018-2019,1238,compulsory-elective
R1635,10021,2,2018-2019,1159,compulsory-elective
R1636,10021,2,2018-2019,1097,compulsory-elective
R1637,10021,2,2018-2019,1269,elective
R1638,10021,2,2018-2019,1244,elective
R1639,10021,2,2018-2019,1221,elective
R1640,10021,2,2018-2019,1149,elective
R1641,10021,2,2018-2019,1031,elective
R1642,10021,2,2019-2020,1150,compulsory
R1643,10021,2,2019-2020,1054,compulsory-elective
R1644,10021,2,2019-2020,1043,compulsory-elective
R1645,10021,2,2019-2020,1024,compulsory-elective
R1646,10021,2,2019-2020,1269,elective
R1647,10021,2,2019-2020,1217,elective
R1648,10021,2,2019-2020,1197,elective
R1649,10021,2,2019-2020,1126,elective
R1650,10021,2,2019-2020,1086,elective
R1651,10021,2,2020-2021,1116,compulsory
R1652,10021,2,2020-2021,1255,compulsory-elective
R1653,10021,2,2020-2021,1239,compulsory-elective
R1654,10021,2,2020-2021,1080,compulsory-elective
R1655,10021,2,2020-2021,1051,compulsory-elective
R1656,10021,2,2020-2021,1238,compulsory-elective
R1657,10021,2,2020-2021,1188,compulsory-elective
R1658,10021,2,2020-2021,1179,compulsory-elective
R1659,10021,2,2020-2021,1079,compulsory-elective
R1660,10021,2,2021-2022,1156,compulsory
R1661,10021,2,2021-2022,1103,compulsory
R1662,10021,2,2021-2022,1257,compulsory-elective
R1663,10021,2,2021-2022,1203,compulsory-elective
R1664,10021,2,2021-2022,1044,compulsory-elective
R1665,10021,2,2021-2022,1285,elective
R1666,10021,2,2021-2022,1276,elective
R1667,10021,2,2021-2022,1187,elective
R1668,10021,2,2021-2022,1163,elective
R1669,10021,2,2022-2023,1156,compulsory
R1670,10021,2,2022-2023,1136,compulsory
R1671,10021,2,2022-2023,1244,compulsory-elective
R1672,10021,2,2022-2023,1172,compulsory-elective
R1673,10021,2,2022-2023,1165,compulsory-elective
R1674,10021,2,2022-2023,1067,compulsory-elective
R1675,10021,2,2022-2023,1249,elective
R1676,10021,2,2022-2023,1190,elective
R1677,10021,2,2022-2023,1075,elective
R1678,10021,2,2022-2023,1063,elective
R1679,10021,2,2022-2023,1050,elective
R1680,10021,2,2022-2023,1007,elective
R1681,10021,2,2023-2024,1193,compulsory
R1682,10021,2,2023-2024,1170,compulsory
R1683,10021,2,2023-2024,1232,compulsory-elective
R1684,10021,2,2023-2024,1145,compulsory-elective
R1685,10021,2,2023-2024,1074,compulsory-elective
R1686,10021,2,2023-2024,1016,compulsory-elective
R1687,10021,2,2023-2024,1244,elective
R1688,10021,2,2023-2024,1105,elective
R1689,10021,2,2023-2024,1094,elective
R1690,10021,2,2023-2024,1087,elective
R1691,10021,2,2023-2024,1004,elective
R1692,10031,1,2013-2014,1117,compulsory
R1693,10031,1,2013-2014,1163,compulsory-elective
R1694,10031,1,2013-2014,1128,compulsory-elective
R1695,10031,1,2013-2014,1251,elective
R1696,10031,1,2013-2014,1242,elective
R1697,10031,1,2013-2014,1182,elective
R1698,10031,1,2013-2014,1029,elective
R1699,10031,1,2013-2014,1017,elective
R1700,10031,1,2014-2015,1226,compulsory
R1701,10031,1,2014-2015,1219,compulsory
R1702,10031,1,2014-2015,1295,compulsory-elective
R1703,10031,1,2014-2015,1052,compulsory-elective
R1704,10031,1,2014-2015,1007,compulsory-elective
R1705,10031,1,2014-2015,1256,elective
R1706,10031,1,2014-2015,1167,elective
R1707,10031,1,2014-2015,1065,elective
R1708,10031,1,2014-2015,1049,elective
R1709,10031,1,2015-2016,1268,compulsory
R1710,10031,1,2015-2016,1259,compulsory-elective
R1711,10031,1,2015-2016,1053,compulsory-elective
R1712,10031,1,2015-2016,1035,compulsory-elective
R1713,10031,1,2015-2016,1284,elective
R1714,10031,1,2015-2016,1271,elective
R1715,10031,1,2015-2016,1206,elective
R1716,10031,1,2015-2016,1170,elective
R1717,10031,1,2016-2017,1121,compulsory
R1718,10031,1,2016-2017,1250,compulsory-elective
R1719,10031,1,2016-2017,1236,compulsory-elective
R1720,10031,1,2016-2017,1219,compulsory-elective
R1721,10031,1,2016-2017,1200,compulsory-elective
R1722,10031,1,2016-2017,1153,compulsory-elective
R1723,10031,1,2016-2017,1135,compulsory-elective
R1724,10031,1,2016-2017,1126,compulsory-elective
R1725,10031,1,2016-2017,1058,compulsory-elective
R1726,10031,1,2017-2018,1272,compulsory
R1727,10031,1,2017-2018,1010,compulsory
R1728,10031,1,2017-2018,1264,compulsory-elective
R1729,10031,1,2017-2018,1118,compulsory-elective
R1730,10031,1,2017-2018,1106,compulsory-elective
R1731,10031,1,2017-2018,1072,compulsory-elective
R1732,10031,1,2017-2018,1267,compulsory-elective
R1733,10031,1,2017-2018,1139,compulsory-elective
R1734,10031,1,2017-2018,1138,compulsory-elective
R1735,10031,1,2017-2018,1029,compulsory-elective
R1736,10031,1,2018-2019,1150,compulsory
R1737,10031,1,2018-2019,1292,compulsory-elective
R1738,10031,1,2018-2019,1191,compulsory-elective
R1739,10031,1,2018-2019,1051,compulsory-elective
R1740,10031,1,2018-2019,1264,elective
R1741,10031,1,2018-2019,1237,elective
R1742,10031,1,2018-2019,1164,elective
R1743,10031,1,2018-2019,1112,elective
R1744,10031,1,2018-2019,1105,elective
R1745,10031,1,2018-2019,1022,elective
R1746,10031,1,2019-2020,1296,compulsory
R1747,10031,1,2019-2020,1194,compulsory
R1748,10031,1,2019-2020,1247,compulsory-elective
R1749,10031,1,2019-2020,1248,compulsory-elective
R1750,10031,1,2019-2020,1122,compulsory-elective
R1751,10031,1,2019-2020,1105,compulsory-elective
R1752,10031,1,2019-2020,1293,elective
R1753,10031,1,2019-2020,1272,elective
R1754,10031,1,2019-2020,1259,elective
R1755,10031,1,2019-2020,1116,elective
R1756,10031,1,2019-2020,1061,elective
R1757,10031,1,2019-2020,1008,elective
R1758,10031,1,2020-2021,1119,compulsory
R1759,10031,1,2020-2021,1110,compulsory-elective
R1760,10031,1,2020-2021,1011,compulsory-elective
R1761,10031,1,2020-2021,1229,elective
R1762,10031,1,2020-2021,1198,elective
R1763,10031,1,2020-2021,1163,elective
R1764,10031,1,2020-2021,1073,elective
R1765,10031,1,2021-2022,1299,compulsory
R1766,10031,1,2021-2022,1292,compulsory
R1767,10031,1,2021-2022,1209,compulsory-elective
R1768,10031,1,2021-2022,1168,compulsory-elective
R1769,10031,1,2021-2022,1107,compulsory-elective
R1770,10031,1,2021-2022,1080,compulsory-elective
R1771,10031,1,2021-2022,1293,elective
R1772,10031,1,2021-2022,1284,elective
R1773,10031,1,2021-2022,1204,elective
R1774,10031,1,2021-2022,1104,elective
R1775,10031,1,2021-2022,1025,elective
R1776,10031,1,2021-2022,1024,elective
R1777,10031,1,2022-2023,1139,compulsory
R1778,10031,1,2022-2023,1212,compulsory-elective
R1779,10031,1,2022-2023,1190,compulsory-elective
R1780,10031,1,2022-2023,1163,compulsory-elective
R1781,10031,1,2022-2023,1130,compulsory-elective
R1782,10031,1,2022-2023,1259,compulsory-elective
R1783,10031,1,2022-2023,1176,compulsory-elective
